date_time,total_return (%),NAV,Drawdown(%)
14/06/2022,1.437293165,4.213938882,0
15/06/2022,-2.121383437,4.12454508,-2.121383437
16/06/2022,2.893409557,4.243885062,0
17/06/2022,-0.458747683,4.224416338,-0.458747683
18/06/2022,6.890573718,4.51550286,0
19/06/2022,-3.426711833,4.360769589,-3.426711833
20/06/2022,-0.998520492,4.317226411,-4.391015905
21/06/2022,-0.694554113,4.287240937,-5.055072037
22/06/2022,-0.347584187,4.272339166,-5.385085593
23/06/2022,1.011693531,4.315562145,-4.427872624
24/06/2022,1.298682256,4.371607584,-3.186694365
25/06/2022,0.110877447,4.376454711,-3.079350243
26/06/2022,-0.676230149,4.346859805,-3.734756897
27/06/2022,0.930258947,4.387296857,-2.83924086
28/06/2022,2.396672683,4.492446003,-0.510615487
29/06/2022,0.783530368,4.527645681,0
30/06/2022,0.360439551,4.543965107,0
