Pair,Trading ID,Trading Time,Timestamp(ms),Trading Type,Trading Price,Trading Amount,Trading Cost,PnL,Fee
SOL/USDT:USDT,509422248,2024-10-31 22:10:14.212,1730383814212,sell,171.61,0.86,147.5846,6.4815875958797233,-0.0737923
SOL/USDT:USDT,509853687,2024-11-01 05:55:14.037,1730411714037,sell,169.45,0.01,1.6945,0.0537672976265084,-0.00084725
SOL/USDT:USDT,509853688,2024-11-01 05:55:14.037,1730411714037,sell,169.45,1.8,305.01,7.2048178819521269,-0.152505
SOL/USDT:USDT,509949402,2024-11-01 08:45:14.265,1730421914265,sell,168.73,0.91,153.5443,0,-0.07677215
SOL/USDT:USDT,510003519,2024-11-01 09:45:14.470,1730425514470,sell,167.88,0.93,156.1284,0,-0.0780642
SOL/USDT:USDT,510308661,2024-11-01 18:25:15.021,1730456715021,sell,168.02,2.29,384.7658,0,-0.1923829
SOL/USDT:USDT,510318833,2024-11-01 18:35:14.423,1730457314423,sell,168.3,1.36,228.888,0,-0.114444
SOL/USDT:USDT,510584822,2024-11-01 22:40:14.909,1730472014909,buy,172.55,0.65,112.1575,-2.7746806722689075,-0.05607875
SOL/USDT:USDT,510791168,2024-11-02 00:00:14.796,1730476814796,sell,163.9,0.83,136.037,0,-0.0272074
SOL/USDT:USDT,511123920,2024-11-02 06:10:14.290,1730499014290,sell,165.56,1.33,220.1948,0,-0.1100974
SOL/USDT:USDT,511522288,2024-11-02 22:20:14.323,1730557214323,sell,163.95,0.59,96.7305,0,-0.04836525
SOL/USDT:USDT,512508081,2024-11-03 23:05:14.217,1730646314217,sell,158.36,0.93,147.2748,0,-0.0736374
